Country,Year,Type,Value,Sector,Dept,Programme,Name,Notes,Change,
Papua New Guinea,2012,aggr,1377900,,,,Total Financing Requirement,,,
Papua New Guinea,2013,aggr,2737000,,,,Total Financing Requirement,,,
Papua New Guinea,2014,aggr,2353000,,,,Total Financing Requirement,,,
Papua New Guinea,2012,aggr,161900,External,,,Net External Financing,,,
Papua New Guinea,2013,aggr,482100,External,,,Net External Financing,,,
Papua New Guinea,2014,aggr,647800,External,,,Net External Financing,,,
Papua New Guinea,2012,aggr,1216000,Domestic,,,Net Domestic Financing,,,
Papua New Guinea,2013,aggr,2254900,Domestic,,,Net Domestic Financing,,,
Papua New Guinea,2014,aggr,1705200,Domestic,,,Net Domestic Financing,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
