Country,Year,Type,Value,Sector,Dept,Programme,Name,Notes,Change
Papua New Guinea,2012,aggr,5875100,Taxes on Income and Profits,,,Taxes on Income and Profits,,
Papua New Guinea,2013,aggr,6185800,Taxes on Income and Profits,,,Taxes on Income and Profits,,
Papua New Guinea,2014,aggr,7117200,Taxes on Income and Profits,,,Taxes on Income and Profits,,
Papua New Guinea,2012,aggr,2648700,Taxes on Income and Profits,301,,Personal Income Tax,,
Papua New Guinea,2013,aggr,2740400,Taxes on Income and Profits,301,,Personal Income Tax,,
Papua New Guinea,2014,aggr,2852000,Taxes on Income and Profits,301,,Personal Income Tax,,
Papua New Guinea,2012,aggr,1744500,Taxes on Income and Profits,302,,Company tax,,
Papua New Guinea,2013,aggr,2061600,Taxes on Income and Profits,302,,Company tax,,
Papua New Guinea,2014,aggr,2647400,Taxes on Income and Profits,302,,Company tax,,
Papua New Guinea,2012,aggr,190700,Taxes on Income and Profits,303,,DWT,,
Papua New Guinea,2013,aggr,232800,Taxes on Income and Profits,303,,DWT,,
Papua New Guinea,2014,aggr,261300,Taxes on Income and Profits,303,,DWT,,
Papua New Guinea,2012,aggr,981100,Taxes on Income and Profits,304,,Mining and Petroleum Taxes,,
Papua New Guinea,2013,aggr,815700,Taxes on Income and Profits,304,,Mining and Petroleum Taxes,,
Papua New Guinea,2014,aggr,1001800,Taxes on Income and Profits,304,,Mining and Petroleum Taxes,,
Papua New Guinea,2012,aggr,67400,Taxes on Income and Profits,305,,Interest withholding tax,,
Papua New Guinea,2013,aggr,49000,Taxes on Income and Profits,305,,Interest withholding tax,,
Papua New Guinea,2014,aggr,49000,Taxes on Income and Profits,305,,Interest withholding tax,,
Papua New Guinea,2012,aggr,108800,Taxes on Income and Profits,306,,Other Direct,,
Papua New Guinea,2013,aggr,115600,Taxes on Income and Profits,306,,Other Direct,,
Papua New Guinea,2014,aggr,125000,Taxes on Income and Profits,306,,Other Direct,,
Papua New Guinea,2012,aggr,133900,Taxes on Income and Profits,307,,Gaming Tax,,
Papua New Guinea,2013,aggr,170600,Taxes on Income and Profits,307,,Gaming Tax,,
Papua New Guinea,2014,aggr,180800,Taxes on Income and Profits,307,,Gaming Tax,,
Papua New Guinea,2012,aggr,697700,Taxes on International Trade,,,Taxes on International Trade,,
