Country,Year,Type,Value,Sector,Dept,Programme,Name,Notes,Change,
Papua New Guinea,2013,aggr,117757.3,Administration,201,,National Parliament,,-0.1,
Papua New Guinea,2012,aggr,135897.2,Administration,201,,National Parliament,,,
Papua New Guinea,2014,aggr,130724.6,Administration,201,,National Parliament,,0.1,
Papua New Guinea,2013,aggr,5048.9,Administration,202,,Office of Governor-General,,-0.2,
Papua New Guinea,2012,aggr,6002.5,Administration,202,,Office of Governor-General,,,
Papua New Guinea,2014,aggr,4706.5,Administration,202,,Office of Governor-General,,-0.1,
Papua New Guinea,2012,aggr,5797.0,Administration,202,2021,General Administrative Services,,,
Papua New Guinea,2012,aggr,205.5,Administration,202,2022,Governor General's Emoluments,,,
Papua New Guinea,2013,aggr,4644.3,Administration,202,2021,General Administrative Services,,,
Papua New Guinea,2013,aggr,404.6,Administration,202,2022,Governor General's Emoluments,,,
Papua New Guinea,2014,aggr,4298.4,Administration,202,2021,General Administrative Services,,,
Papua New Guinea,2014,aggr,408.1,Administration,202,2022,Governor General's Emoluments,,,
Papua New Guinea,2013,aggr,345620.9,Administration,203,,Department of Prime Minister & NEC,,2.0,
Papua New Guinea,2012,aggr,114038.6,Administration,203,,Department of Prime Minister & NEC,,,
Papua New Guinea,2014,aggr,189336.2,Administration,203,,Department of Prime Minister & NEC,,-0.5,
Papua New Guinea,2012,aggr,30738.6,Administration,203,2031,National Policy Formulation and Co-ordination Services,,,
Papua New Guinea,2012,aggr,35393.3,Administration,203,2032,Support to Prime Minister,,,
Papua New Guinea,2012,aggr,22103.6,Administration,203,2033,Ministerial Services,,,
Papua New Guinea,2012,aggr,11698.5,Administration,203,2034,General Administrative Services,,,
Papua New Guinea,2012,aggr,14973.1,Administration,203,2035,Community College,,,
Papua New Guinea,2012,aggr,0.0,Administration,203,2036,South Pacific Games 2015,,,
Papua New Guinea,2012,aggr,0.0,Administration,203,2037,Printing and Information Dissemination,,,
Papua New Guinea,2012,aggr,0.0,Administration,203,2038,Economic and Infrastructure Development Schemes,,,
Papua New Guinea,2013,aggr,28134.5,Administration,203,2031,National Policy Formulation and Co-ordination Services,,,
Papua New Guinea,2013,aggr,14421.1,Administration,203,2032,Support to Prime Minister,,,
Papua New Guinea,2013,aggr,17032.8,Administration,203,2033,Ministerial Services,,,
Papua New Guinea,2013,aggr,13114.9,Administration,203,2034,General Administrative Services,,,
Papua New Guinea,2013,aggr,16285.0,Administration,203,2035,Community College,,,
Papua New Guinea,2013,aggr,180000.0,Administration,203,2036,South Pacific Games 2015,,,
