Country,Year,Type,Value,Sector,Dept,Programme,Name,Notes,Change,,,,,,,
Papua New Guinea,2012,aggr,10943900 ,,,,Total Expenditure and Net Lending,,,,,,,,,
Papua New Guinea,2013,aggr,13218700 ,,,,Total Expenditure and Net Lending,,0.2,,,,,,,
Papua New Guinea,2014,aggr,15041500 ,,,,Total Expenditure and Net Lending,,0.1,,,,,,,
Papua New Guinea,2012,aggr,900000 , health ,,,Health Spending,,,,,,,,,
Papua New Guinea,2013,aggr,1089000 , health ,,,Health Spending,,0.2,,,,,,,
Papua New Guinea,2014,aggr,1382300 , health ,,,Health Spending,,0.3,,,,,,,
Papua New Guinea,2012,aggr,15890, health ,520,,National AIDS Council Secretariat,,,,,,,,,
Papua New Guinea,2013,aggr,25503, health ,520,,National AIDS Council Secretariat,,0.6,,,,,,,
Papua New Guinea,2014,aggr,27281, health ,520,,National AIDS Council Secretariat,,0.1,,,,,,,
Papua New Guinea,2012,aggr,15746, health ,520,,Institute of Medical Research,,,,,,,,,
Papua New Guinea,2013,aggr,10702, health ,520,,Institute of Medical Research,,-0.3,,,,,,,
Papua New Guinea,2014,aggr,11702, health ,520,,Institute of Medical Research,,0.1,,,,,,,
Papua New Guinea,2012,aggr,0, health ,207,,Treasury and Misc,,,,,,,,,
Papua New Guinea,2013,aggr,95100, health ,207,,Treasury and Misc,,0.0,,,,,,,
Papua New Guinea,2014,aggr,78300, health ,207,,Treasury and Misc,,-0.2,,,,,,,
Papua New Guinea,2012,aggr,0, health ,207,2071,Primary Health and Hospital Services,,,,,,,,,
Papua New Guinea,2012,aggr,0, health ,207,2072,Free Primary Healthcare,,,,,,,,,
Papua New Guinea,2012,aggr,0, health ,207,2073,Hospital Design for Central & Hela Provinces,,,,,,,,,
Papua New Guinea,2012,aggr,0, health ,207,2074,Outstanding Allowances for Health Extension Officers,,,,,,,,,
Papua New Guinea,2012,aggr,0, health ,207,2075,"Provincial Health Authorities (Milne Bay, EHP,WHP)",,,,,,,,,
Papua New Guinea,2012,aggr,0, health ,207,2076,Hospital Management Services Awards- different Health Worker,,,,,,,,,
Papua New Guinea,2012,aggr,0, health ,207,2077,Kunjip Hospital Redevelopment,,,,,,,,,
Papua New Guinea,2013,aggr,0, health ,207,2071,Primary Health and Hospital Services,,,,,,,,,
Papua New Guinea,2013,aggr,20000, health ,207,2072,Free Primary Healthcare,,,,,,,,,
Papua New Guinea,2013,aggr,0, health ,207,2073,Hospital Design for Central & Hela Provinces,,,,,,,,,
Papua New Guinea,2013,aggr,20100, health ,207,2074,Outstanding Allowances for Health Extension Officers,,,,,,,,,
Papua New Guinea,2013,aggr,25000, health ,207,2075,"Provincial Health Authorities (Milne Bay, EHP,WHP)",,,,,,,,,
Papua New Guinea,2013,aggr,30000, health ,207,2076,Hospital Management Services Awards- different Health Worker,,,,,,,,,
Papua New Guinea,2013,aggr,0, health ,207,2077,Kunjip Hospital Redevelopment,,,,,,,,,
Papua New Guinea,2014,aggr,31300, health ,207,2071,Primary Health and Hospital Services,,,,,,,,,
Papua New Guinea,2014,aggr,20000, health ,207,2072,Free Primary Healthcare,,,,,,,,,
Papua New Guinea,2014,aggr,8000, health ,207,2073,Hospital Design for Central & Hela Provinces,,,,,,,,,
Papua New Guinea,2014,aggr,, health ,207,2074,Outstanding Allowances for Health Extension Officers,,,,,,,,,
Papua New Guinea,2014,aggr,15000, health ,207,2075,"Provincial Health Authorities (Milne Bay, EHP,WHP)",,,,,,,,,
