Country,Year,Type,Value,Sector,Dept,Programme,Name,Notes,Change,,,,,,,,,,,,,,,,
Papua New Guinea,2012,aggr,10943900 ,,,,Total Expenditure and Net Lending,,,,,,,,,,,,,,,,,,
Papua New Guinea,2013,aggr,13218700 ,,,,Total Expenditure and Net Lending,,0.2,,,,,,,,,,,,,,,,
Papua New Guinea,2014,aggr,15041500 ,,,,Total Expenditure and Net Lending,,0.1,,,,,,,,,,,,,,,,
Papua New Guinea,2012,aggr,900000 , health ,,,Health Spending,,,,,,,,,,,,,,,,,,
Papua New Guinea,2013,aggr,1089000 , health ,,,Health Spending,,0.2,,,,,,,,,,,,,,,,
Papua New Guinea,2014,aggr,1382300 , health ,,,Health Spending,,0.3,,,,,,,,,,,,,,,,
Papua New Guinea,2012,aggr,248600, health ,240,,Dept of Health,,,,,,,,,,,,,,,,,,
Papua New Guinea,2013,aggr,422763, health ,240,,Dept of Health,,,,,,,,,,,,,,,,,,
Papua New Guinea,2014,aggr,666262, health ,240,,Dept of Health,,,,,,,,,,,,,,,,,,
Papua New Guinea,2012,aggr,6076, health ,240,2401,Disease Control,,,,,,,,,,,,,,,,,,
Papua New Guinea,2012,aggr,859, health ,240,2402,Environmental Health and Water Supply,,,,,,,,,,,,,,,,,,
Papua New Guinea,2012,aggr,2166, health ,240,2403,Family Health Services,,,,,,,,,,,,,,,,,,
Papua New Guinea,2012,aggr,671, health ,240,2404,Health Promotion and Education,,,,,,,,,,,,,,,,,,
Papua New Guinea,2012,aggr,27909, health ,240,2405,Human Resource Development,,,,,,,,,,,,,,,,,,
Papua New Guinea,2012,aggr,121668, health ,240,2406,Medical Supplies and Equipment,,,,,,,,,,,,,,,,,,
Papua New Guinea,2012,aggr,0, health ,240,2407,Rural Health Support Services,,,,,,,,,,,,,,,,,,
Papua New Guinea,2012,aggr,51926, health ,240,2408,Top Management and General Administration,,,,,,,,,,,,,,,,,,
Papua New Guinea,2012,aggr,30365, health ,240,2409,Urban Health Facilities,,,,,,,,,,,,,,,,,,
Papua New Guinea,2012,aggr,0, health ,240,2410,Hiv / Aids,,,,,,,,,,,,,,,,,,
Papua New Guinea,2012,aggr,6960, health ,240,2411,Rural Health Support Services,,,,,,,,,,,,,,,,,,
Papua New Guinea,2013,aggr,7233, health ,240,2401,Disease Control,,0.2,,,,,,,,,,,,,,,,
Papua New Guinea,2013,aggr,1209, health ,240,2402,Environmental Health and Water Supply,,0.4,,,,,,,,,,,,,,,,
Papua New Guinea,2013,aggr,3016, health ,240,2403,Family Health Services,,0.4,,,,,,,,,,,,,,,,
Papua New Guinea,2013,aggr,23003, health ,240,2404,Health Promotion and Education,,33.3,,,,,,,,,,,,,,,,
Papua New Guinea,2013,aggr,33715, health ,240,2405,Human Resource Development,,0.2,,,,,,,,,,,,,,,,
Papua New Guinea,2013,aggr,164695, health ,240,2406,Medical Supplies and Equipment,,0.4,,,,,,,,,,,,,,,,
Papua New Guinea,2013,aggr,0, health ,240,2407,Rural Health Support Services,,0.0,,,,,,,,,,,,,,,,
Papua New Guinea,2013,aggr,94050, health ,240,2408,Top Management and General Administration,,0.8,,,,,,,,,,,,,,,,
Papua New Guinea,2013,aggr,33220, health ,240,2409,Urban Health Facilities,,0.1,,,,,,,,,,,,,,,,
Papua New Guinea,2013,aggr,38292, health ,240,2410,Hiv / Aids,,0.0,,,,,,,,,,,,,,,,
Papua New Guinea,2013,aggr,24330, health ,240,2411,Rural Health Support Services,,2.5,,,,,,,,,,,,,,,,
