Country,Year,Type,Value,Sector,Department,Programme,Sub-Programme,Name,Notes,Changes
Kiribati,2002,aggr,31173221,Economic affairs ,,,,Economic affairs ,,
Kiribati,2002,aggr,3990937,Economic affairs ,Ministry of Commerce Industry and Cooperatives,,,Ministry of Commerce Industry and Cooperatives,,
Kiribati,2002,aggr,3039876.2,Economic affairs ,Ministry of Commerce Industry and Cooperatives,Business Promotion,,Business Promotion,,
Kiribati,2002,aggr,123302.98,Economic affairs ,Ministry of Commerce Industry and Cooperatives,Business Regulation,,Business Regulation,,
Kiribati,2002,aggr,435870.25,Economic affairs ,Ministry of Commerce Industry and Cooperatives,Policy Development,,Policy Development,,
Kiribati,2002,aggr,115306.48,Economic affairs ,Ministry of Commerce Industry and Cooperatives,Promotion of Commerce Industry and Tourism in Kiribati,,Promotion of Commerce Industry and Tourism in Kiribati,,
Kiribati,2002,aggr,,Economic affairs ,Ministry of Commerce Industry and Cooperatives,Promotion of Foreign Investments,,Promotion of Foreign Investments,,
Kiribati,2002,aggr,276580.98,Economic affairs ,Ministry of Commerce Industry and Cooperatives,Regulation and Christmas Island Development,,Regulation and Christmas Island Development,,
Kiribati,2002,aggr,,Economic affairs ,Ministry of Commerce Industry and Cooperatives,Services to Cooperatives,,Services to Cooperatives,,
Kiribati,2002,aggr,5161926,Economic affairs ,Ministry of Commerce Transport and Tourism Development,,,Ministry of Commerce Transport and Tourism Development,,
Kiribati,2002,aggr,631882.77,Economic affairs ,Ministry of Commerce Transport and Tourism Development,Administration and Policy Development,,Administration and Policy Development,,
Kiribati,2002,aggr,282972.63,Economic affairs ,Ministry of Commerce Transport and Tourism Development,Administration and Regulation of Civil Aviation,,Administration and Regulation of Civil Aviation,,
Kiribati,2002,aggr,,Economic affairs ,Ministry of Commerce Transport and Tourism Development,Information Technology,,Information Technology,,
Kiribati,2002,aggr,,Economic affairs ,Ministry of Commerce Transport and Tourism Development,Meteorological Information,,Meteorological Information,,
Kiribati,2002,aggr,3199936.42,Economic affairs ,Ministry of Commerce Transport and Tourism Development,Operation of Airports,,Operation of Airports,,
Kiribati,2002,aggr,158805.85,Economic affairs ,Ministry of Commerce Transport and Tourism Development,Philatelic Bureau,,Philatelic Bureau,,
Kiribati,2002,aggr,311362.28,Economic affairs ,Ministry of Commerce Transport and Tourism Development,Postal Services,,Postal Services,,
Kiribati,2002,aggr,202250.41,Economic affairs ,Ministry of Commerce Transport and Tourism Development,Printing Services,,Printing Services,,
Kiribati,2002,aggr,,Economic affairs ,Ministry of Commerce Transport and Tourism Development,Promotion of Tourism,,Promotion of Tourism,,
Kiribati,2002,aggr,86010.28,Economic affairs ,Ministry of Commerce Transport and Tourism Development,Safer Navigational Infrastructure,,Safer Navigational Infrastructure,,
Kiribati,2002,aggr,85539.74,Economic affairs ,Ministry of Commerce Transport and Tourism Development,Search and Rescue,,Search and Rescue,,
Kiribati,2002,aggr,203165.13,Economic affairs ,Ministry of Commerce Transport and Tourism Development,Services to Shipping,,Services to Shipping,,
Kiribati,2002,aggr,,Economic affairs ,Ministry of Environment Lands and Agriculture Development,,,Ministry of Environment Lands and Agriculture Development,,
Kiribati,2002,aggr,,Economic affairs ,Ministry of Environment Lands and Agriculture Development,Services to Agriculture and Livestock,,Services to Agriculture and Livestock,,
Kiribati,2002,aggr,3167952,Economic affairs ,Ministry of Fisheries and Mineral Resource Development,,,Ministry of Fisheries and Mineral Resource Development,,
Kiribati,2002,aggr,189750.69,Economic affairs ,Ministry of Fisheries and Mineral Resource Development,Information Technology ,,Information Technology ,,
Kiribati,2002,aggr,1080450.92,Economic affairs ,Ministry of Fisheries and Mineral Resource Development,Licensing and Fisheries,,Licensing and Fisheries,,
Kiribati,2002,aggr,39922.04,Economic affairs ,Ministry of Fisheries and Mineral Resource Development,Management of Mineral Resources,,Management of Mineral Resources,,
Kiribati,2002,aggr,1160653.97,Economic affairs ,Ministry of Fisheries and Mineral Resource Development,Planning,,Planning,,
Kiribati,2002,aggr,697174.86,Economic affairs ,Ministry of Fisheries and Mineral Resource Development,Policy Resource and Development,,Policy Resource and Development,,
Kiribati,2002,aggr,2685626,Economic affairs ,Ministry of Labour & Human Resource Development,,,Ministry of Labour & Human Resource Development,,
Kiribati,2002,aggr,385072.69,Economic affairs ,Ministry of Labour & Human Resource Development,Fisheries Training Centre,,Fisheries Training Centre,,
Kiribati,2002,aggr,79652.98,Economic affairs ,Ministry of Labour & Human Resource Development,KIT Services,,KIT Services,,
Kiribati,2002,aggr,272118.68,Economic affairs ,Ministry of Labour & Human Resource Development,Labour Services,,Labour Services,,
Kiribati,2002,aggr,1450888.91,Economic affairs ,Ministry of Labour & Human Resource Development,Marine Training Centre,,Marine Training Centre,,
Kiribati,2002,aggr,497892.78,Economic affairs ,Ministry of Labour & Human Resource Development,Policy Development,,Policy Development,,
Kiribati,2002,aggr,6725195,Economic affairs ,Ministry of Public Works and Utilities,,,Ministry of Public Works and Utilities,,
Kiribati,2002,aggr,636313.66,Economic affairs ,Ministry of Public Works and Utilities,Civil Engineering Services,,Civil Engineering Services,,
Kiribati,2002,aggr,2860404.43,Economic affairs ,Ministry of Public Works and Utilities,Construction Services,,Construction Services,,
Kiribati,2002,aggr,2036674.49,Economic affairs ,Ministry of Public Works and Utilities,Electricity for Public Places,,Electricity for Public Places,,
Kiribati,2002,aggr,177665.06,Economic affairs ,Ministry of Public Works and Utilities,Energy Planning,,Energy Planning,,
Kiribati,2002,aggr,136737.67,Economic affairs ,Ministry of Public Works and Utilities,Joinery Services,,Joinery Services,,
Kiribati,2002,aggr,373017.08,Economic affairs ,Ministry of Public Works and Utilities,Policy Advice,,Policy Advice,,
Kiribati,2002,aggr,115762.7,Economic affairs ,Ministry of Public Works and Utilities,Public Works,,Public Works,,
Kiribati,2002,aggr,157156.8,Economic affairs ,Ministry of Public Works and Utilities,Technical and Design Services,,Technical and Design Services,,
Kiribati,2002,aggr,231463.58,Economic affairs ,Ministry of Public Works and Utilities,Water Supply,,Water Supply,,
Kiribati,2002,aggr,9441585,Economic affairs ,Other Government Expenses,,,Other Government Expenses,,
Kiribati,2002,aggr,130981.13,Economic affairs ,Other Government Expenses,Air Kiribati Subsidy,,Air Kiribati Subsidy,,
Kiribati,2002,aggr,4000000,Economic affairs ,Other Government Expenses,Copra Price Subsidy,,Copra Price Subsidy,,
Kiribati,2002,aggr,,Economic affairs ,Other Government Expenses,DBK,,DBK,,
Kiribati,2002,aggr,0,Economic affairs ,Other Government Expenses,GoK W/Capital Guarantee Corp,,GoK W/Capital Guarantee Corp,,
Kiribati,2002,aggr,1594,Economic affairs ,Other Government Expenses,GoK Working Capital KMEL,,GoK Working Capital KMEL,,
Kiribati,2002,aggr,557517.6,Economic affairs ,Other Government Expenses,Gov. O/S Debts with KSCL,,Gov. O/S Debts with KSCL,,
Kiribati,2002,aggr,1413316.25,Economic affairs ,Other Government Expenses,Int. Air Services Subsidy,,Int. Air Services Subsidy,,
Kiribati,2002,aggr,20000,Economic affairs ,Other Government Expenses,Kiritimati Maint. Contribution,,Kiritimati Maint. Contribution,,
Kiribati,2002,aggr,1287267.52,Economic affairs ,Other Government Expenses,MLHRD,,MLHRD,,
Kiribati,2002,aggr,,Economic affairs ,Other Government Expenses,NA,,NA,,
Kiribati,2002,aggr,800000,Economic affairs ,Other Government Expenses,PUB,,PUB,,
Kiribati,2002,aggr,,Economic affairs ,Other Government Expenses,Subsidy to Betio Shipyard Ltd,,Subsidy to Betio Shipyard Ltd,,
Kiribati,2002,aggr,260000,Economic affairs ,Other Government Expenses,Subsidy to KHC,,Subsidy to KHC,,
Kiribati,2002,aggr,952658.09,Economic affairs ,Other Government Expenses,Support Grants,,Support Grants,,
Kiribati,2002,aggr,,Economic affairs ,Other Government Expenses,Village Banks Subsidy,,Village Banks Subsidy,,
Kiribati,2002,aggr,18250.09,Economic affairs ,Other Government Expenses,Volunt. Org. Grants,,Volunt. Org. Grants,,
Kiribati,2002,aggr,20174114.3,Education ,,,,Education ,,
Kiribati,2002,aggr,340328.48,Education ,Conducting and Provision of Exams,,,Conducting and Provision of Exams,,
Kiribati,2002,aggr,4310686.18,Education ,Junior Secondary Education,,,Junior Secondary Education,,
Kiribati,2002,aggr,1552474.17,Education ,KGV and EBS Secondary School,,,KGV and EBS Secondary School,,
Kiribati,2002,aggr,1006196.37,Education ,Policy Advice,,,Policy Advice,,
Kiribati,2002,aggr,5320777.99,Education ,Primary Education Services,,,Primary Education Services,,
Kiribati,2002,aggr,758813.57,Education ,Provision of Library and Archival Services,,,Provision of Library and Archival Services,,
Kiribati,2002,aggr,1298764.89,Education ,Support to Non-Formal Education,,,Support to Non-Formal Education,,
Kiribati,2002,aggr,455874.7,Education ,Teabike College Secondary School,,,Teabike College Secondary School,,
Kiribati,2002,aggr,1049371.84,Education ,Teacher Training,,,Teacher Training,,
Kiribati,2002,aggr,607147.63,Education ,Teachers Training,,,Teachers Training,,
Kiribati,2002,aggr,2734520.26,Education ,Teaching Resources ,,,Teaching Resources ,,
Kiribati,2002,aggr,,Education ,Youth and Sport,,,Youth and Sport,,
Kiribati,2002,aggr,739158.22,Education ,Other Government Expenses,,,Other Government Expenses,,
Kiribati,2002,aggr,739158.22,Education ,Other Government Expenses,USP,,USP,,
Kiribati,2002,aggr,1183487.41,Environmental protection ,,,,Environmental protection ,,
Kiribati,2002,aggr,611993.87,Environmental protection ,Administration,,,Administration,,
Kiribati,2002,aggr,235458.63,Environmental protection ,Agriculture,,,Agriculture,,
Kiribati,2002,aggr,336034.91,Environmental protection ,Lands and Survey,,,Lands and Survey,,
Kiribati,2002,aggr,38805872.36,General public services ,,,,General public services ,,
Kiribati,2002,aggr,15158619.72,General public services ,Contribution to the Development Fund,,,Contribution to the Development Fund,,
Kiribati,2002,aggr,495756.73,General public services ,Kiribati National Audit Office,,,Kiribati National Audit Office,,
Kiribati,2002,aggr,67685.89,General public services ,Kiribati National Audit Office,Audits of Local Government,,Audits of Local Government,,
Kiribati,2002,aggr,57348.09,General public services ,Kiribati National Audit Office,Audits of Statutory Authorities,,Audits of Statutory Authorities,,
Kiribati,2002,aggr,370722.75,General public services ,Kiribati National Audit Office,Government Audits,,Government Audits,,
Kiribati,2002,aggr,1798130.79,General public services ,Maneaba ni Maungatabu,,,Maneaba ni Maungatabu,,
Kiribati,2002,aggr,540091.85,General public services ,Maneaba ni Maungatabu,Administration and Support Services,,Administration and Support Services,,
Kiribati,2002,aggr,,General public services ,Maneaba ni Maungatabu,Parliamentary Committees,,Parliamentary Committees,,
Kiribati,2002,aggr,1258038.94,General public services ,Maneaba ni Maungatabu,Parliamentary Meetings,,Parliamentary Meetings,,
Kiribati,2002,aggr,105224.86,General public services ,Ministry of Environment Lands and Agriculture Development,,,Ministry of Environment Lands and Agriculture Development,,
Kiribati,2002,aggr,105224.86,General public services ,Ministry of Environment Lands and Agriculture Development,Environment,,Environment,,
Kiribati,2002,aggr,,General public services ,Ministry of Environment Lands and Agriculture Development,Land Adminstration,,Land Adminstration,,
Kiribati,2002,aggr,2487959.15,General public services ,Ministry of Finance and Economic Development,,,Ministry of Finance and Economic Development,,
Kiribati,2002,aggr,959039.99,General public services ,Ministry of Finance and Economic Development,Administration Policy Advice and Support Services,,Administration Policy Advice and Support Services,,
Kiribati,2002,aggr,311318.99,General public services ,Ministry of Finance and Economic Development,Customs & Border Management,,Customs & Border Management,,
Kiribati,2002,aggr,202501.7,General public services ,Ministry of Finance and Economic Development,Economic Planning & Budget Management,,Economic Planning & Budget Management,,
Kiribati,2002,aggr,53987.85,General public services ,Ministry of Finance and Economic Development,Internal Audit,,Internal Audit,,
Kiribati,2002,aggr,,General public services ,Ministry of Finance and Economic Development,IT,,IT,,
Kiribati,2002,aggr,,General public services ,Ministry of Finance and Economic Development,NA,,NA,,
Kiribati,2002,aggr,578955.58,General public services ,Ministry of Finance and Economic Development,Rec. Acct. Transactions & Fin. Rpts.,,Rec. Acct. Transactions & Fin. Rpts.,,
Kiribati,2002,aggr,152833.92,General public services ,Ministry of Finance and Economic Development,Statistical Services,,Statistical Services,,
Kiribati,2002,aggr,229321.12,General public services ,Ministry of Finance and Economic Development,Taxation Administration,,Taxation Administration,,
Kiribati,2002,aggr,796868.66,General public services ,Ministry of Foreign Affairs and Immigration,,,Ministry of Foreign Affairs and Immigration,,
Kiribati,2002,aggr,214567.47,General public services ,Ministry of Foreign Affairs and Immigration,Immigration Services,,Immigration Services,,
Kiribati,2002,aggr,2814.48,General public services ,Ministry of Foreign Affairs and Immigration,Kiribati High Commission,,Kiribati High Commission,,
Kiribati,2002,aggr,579486.71,General public services ,Ministry of Foreign Affairs and Immigration,Policy Development,,Policy Development,,
Kiribati,2002,aggr,2799313.15,General public services ,Ministry of Internal and Social Affairs,,,Ministry of Internal and Social Affairs,,
