Country,Year,Type,Value,Sector,Dept,Programme,Name,Notes,Change
Papua New Guinea,2012,aggr,5875.1,Taxes on Income and Profits,,,Taxes on Income and Profits,,
Papua New Guinea,2013,aggr,6185.8,Taxes on Income and Profits,,,Taxes on Income and Profits,,
Papua New Guinea,2014,aggr,7117.2,Taxes on Income and Profits,,,Taxes on Income and Profits,,
Papua New Guinea,2012,aggr,2648.7,Taxes on Income and Profits,301,,Personal Income Tax,,
Papua New Guinea,2013,aggr,2740.4,Taxes on Income and Profits,301,,Personal Income Tax,,
Papua New Guinea,2014,aggr,2852,Taxes on Income and Profits,301,,Personal Income Tax,,
Papua New Guinea,2012,aggr,1744.5,Taxes on Income and Profits,302,,Company tax,,
Papua New Guinea,2013,aggr,2061.6,Taxes on Income and Profits,302,,Company tax,,
Papua New Guinea,2014,aggr,2647.4,Taxes on Income and Profits,302,,Company tax,,
Papua New Guinea,2012,aggr,190.7,Taxes on Income and Profits,303,,DWT,,
Papua New Guinea,2013,aggr,232.8,Taxes on Income and Profits,303,,DWT,,
Papua New Guinea,2014,aggr,261.3,Taxes on Income and Profits,303,,DWT,,
Papua New Guinea,2012,aggr,981.1,Taxes on Income and Profits,304,,Mining and Petroleum Taxes,,
Papua New Guinea,2013,aggr,815.7,Taxes on Income and Profits,304,,Mining and Petroleum Taxes,,
Papua New Guinea,2014,aggr,1001.8,Taxes on Income and Profits,304,,Mining and Petroleum Taxes,,
Papua New Guinea,2012,aggr,67.4,Taxes on Income and Profits,305,,Interest withholding tax,,
Papua New Guinea,2013,aggr,49,Taxes on Income and Profits,305,,Interest withholding tax,,
Papua New Guinea,2014,aggr,49,Taxes on Income and Profits,305,,Interest withholding tax,,
Papua New Guinea,2012,aggr,108.8,Taxes on Income and Profits,306,,Other Direct,,
Papua New Guinea,2013,aggr,115.6,Taxes on Income and Profits,306,,Other Direct,,
Papua New Guinea,2014,aggr,125,Taxes on Income and Profits,306,,Other Direct,,
Papua New Guinea,2012,aggr,133.9,Taxes on Income and Profits,307,,Gaming Tax,,
Papua New Guinea,2013,aggr,170.6,Taxes on Income and Profits,307,,Gaming Tax,,
Papua New Guinea,2014,aggr,180.8,Taxes on Income and Profits,307,,Gaming Tax,,
Papua New Guinea,2012,aggr,697.7,Taxes on International Trade,,,Taxes on International Trade,,
Papua New Guinea,2013,aggr,698.2,Taxes on International Trade,,,Taxes on International Trade,,
Papua New Guinea,2014,aggr,746.9,Taxes on International Trade,,,Taxes on International Trade,,
Papua New Guinea,2012,aggr,223,Taxes on International Trade,308,,Import Duty,,
Papua New Guinea,2013,aggr,240.7,Taxes on International Trade,308,,Import Duty,,
Papua New Guinea,2014,aggr,288.8,Taxes on International Trade,308,,Import Duty,,
Papua New Guinea,2012,aggr,179.9,Taxes on International Trade,309,,Export Duty,,
Papua New Guinea,2013,aggr,190,Taxes on International Trade,309,,Export Duty,,
Papua New Guinea,2014,aggr,176.5,Taxes on International Trade,309,,Export Duty,,
Papua New Guinea,2012,aggr,294.8,Taxes on International Trade,310,,Excise Duty on Imports,,
Papua New Guinea,2013,aggr,267.5,Taxes on International Trade,310,,Excise Duty on Imports,,
Papua New Guinea,2014,aggr,281.6,Taxes on International Trade,310,,Excise Duty on Imports,,
Papua New Guinea,2012,aggr,1575.5,Dom. Taxes on Goods and Services,,,Dom. Taxes on Goods and Services,,
Papua New Guinea,2013,aggr,1721.7,Dom. Taxes on Goods and Services,,,Dom. Taxes on Goods and Services,,
Papua New Guinea,2014,aggr,1879.4,Dom. Taxes on Goods and Services,,,Dom. Taxes on Goods and Services,,
Papua New Guinea,2012,aggr,560.5,Dom. Taxes on Goods and Services,311,,Excise,,
Papua New Guinea,2013,aggr,606.1,Dom. Taxes on Goods and Services,311,,Excise,,
Papua New Guinea,2014,aggr,689.3,Dom. Taxes on Goods and Services,311,,Excise,,
Papua New Guinea,2012,aggr,1010,Dom. Taxes on Goods and Services,312,,GST,,
Papua New Guinea,2013,aggr,1107.5,Dom. Taxes on Goods and Services,312,,GST,,
Papua New Guinea,2014,aggr,1181.4,Dom. Taxes on Goods and Services,312,,GST,,
Papua New Guinea,2012,aggr,5,Dom. Taxes on Goods and Services,313,,Other Indirect,,
Papua New Guinea,2013,aggr,8,Dom. Taxes on Goods and Services,313,,Other Indirect,,
Papua New Guinea,2014,aggr,8.7,Dom. Taxes on Goods and Services,313,,Other Indirect,,
