Country,Year,Type,Value,Sector,Dept,Programme,subprogramme,Name,Notes,Change,
Papua New Guinea,2012,aggr,1500973800,Debt Services,,,,,,,
Papua New Guinea,2013,aggr,4194538800,Debt Services,,,,,,,
Papua New Guinea,2014,aggr,6288285000,Debt Services,,,,,,,
Papua New Guinea,2012,aggr,2412500,Debt Services,299,,,External Agency Fees and Charges ,,,
Papua New Guinea,2013,aggr,6603100,Debt Services,299,,,External Agency Fees and Charges ,,,
Papua New Guinea,2014,aggr,19406400,Debt Services,299,,,External Agency Fees and Charges ,,,
Papua New Guinea,2012,aggr,912400,Debt Services,299,2991,,Promissory Notes,,,
Papua New Guinea,2013,aggr,3146500,Debt Services,299,2991,,Promissory Notes,,,
Papua New Guinea,2014,aggr,3146500,Debt Services,299,2991,,Promissory Notes,,,
Papua New Guinea,2012,aggr,33900,Debt Services,299,2992,,Offshore Borrowing Charges,,,
Papua New Guinea,2013,aggr,2000000,Debt Services,299,2992,,Offshore Borrowing Charges,,,
Papua New Guinea,2014,aggr,2534100,Debt Services,299,2992,,Offshore Borrowing Charges,,,
Papua New Guinea,2012,aggr,115100,Debt Services,299,2993,,Legal & Rating Agencies Fees,,,
Papua New Guinea,2013,aggr,120200,Debt Services,299,2993,,Legal & Rating Agencies Fees,,,
Papua New Guinea,2014,aggr,12228000,Debt Services,299,2993,,Legal & Rating Agencies Fees,,,
Papua New Guinea,2012,aggr,1351100,Debt Services,299,2994,,ADB Subscription ,,,
Papua New Guinea,2013,aggr,1336400,Debt Services,299,2994,,ADB Subscription ,,,
Papua New Guinea,2014,aggr,1497700,Debt Services,299,2994,,ADB Subscription ,,,
Papua New Guinea,2012,aggr,73395200,Debt Services,399,,,Bilateral Creditors ,,,
Papua New Guinea,2013,aggr,70631400,Debt Services,399,,,Bilateral Creditors ,,,
Papua New Guinea,2014,aggr,70521100,Debt Services,399,,,Bilateral Creditors ,,,
Papua New Guinea,2012,aggr,1339100,Debt Services,399,3991,,Australia,,,
Papua New Guinea,2013,aggr,242300,Debt Services,399,3991,,Australia,,,
Papua New Guinea,2014,aggr,251700,Debt Services,399,3991,,Australia,,,
Papua New Guinea,2012,aggr,6600200,Debt Services,399,3992,,China & Taiwan ,,,
Papua New Guinea,2013,aggr,6836500,Debt Services,399,3992,,China & Taiwan ,,,
Papua New Guinea,2014,aggr,12350400,Debt Services,399,3992,,China & Taiwan ,,,
Papua New Guinea,2012,aggr,3202700,Debt Services,399,3993,,Germany,,,
Papua New Guinea,2013,aggr,2905100,Debt Services,399,3993,,Germany,,,
Papua New Guinea,2014,aggr,2323300,Debt Services,399,3993,,Germany,,,
Papua New Guinea,2012,aggr,61059000,Debt Services,399,3994,,Japan,,,
Papua New Guinea,2013,aggr,59541100,Debt Services,399,3994,,Japan,,,
Papua New Guinea,2014,aggr,54293000,Debt Services,399,3994,,Japan,,,
Papua New Guinea,2012,aggr,1185400,Debt Services,399,3994,,Korea,,,
Papua New Guinea,2013,aggr,1106400,Debt Services,399,3994,,Korea,,,
Papua New Guinea,2014,aggr,1302700,Debt Services,399,3994,,Korea,,,
Papua New Guinea,2012,aggr,113302400,Debt Services,499,,,Multilateral Creditors ,,,
Papua New Guinea,2013,aggr,118881200,Debt Services,499,,,Multilateral Creditors ,,,
Papua New Guinea,2014,aggr,181036200,Debt Services,499,,,Multilateral Creditors ,,,
Papua New Guinea,2012,aggr,29628800,Debt Services,499,4991,,IBRD ,,,
Papua New Guinea,2013,aggr,31638300,Debt Services,499,4991,,IBRD ,,,
Papua New Guinea,2014,aggr,36423100,Debt Services,499,4991,,IBRD ,,,
Papua New Guinea,2012,aggr,9268900,Debt Services,499,4992,,IDA ,,,
Papua New Guinea,2013,aggr,9313900,Debt Services,499,4992,,IDA ,,,
Papua New Guinea,2014,aggr,10889200,Debt Services,499,4992,,IDA ,,,
Papua New Guinea,2012,aggr,63719300,Debt Services,499,4993,,ADB ,,,
Papua New Guinea,2013,aggr,69656000,Debt Services,499,4993,,ADB ,,,
Papua New Guinea,2014,aggr,124847100,Debt Services,499,4993,,ADB ,,,
Papua New Guinea,2012,aggr,5567500,Debt Services,499,4994,,EEC ,,,
Papua New Guinea,2013,aggr,5567500,Debt Services,499,4994,,EEC ,,,
Papua New Guinea,2014,aggr,6596000,Debt Services,499,4994,,EEC ,,,
Papua New Guinea,2012,aggr,0,Debt Services,499,4995,,OPEC ,,,
Papua New Guinea,2013,aggr,434500,Debt Services,499,4995,,OPEC ,,,
Papua New Guinea,2014,aggr,2089200,Debt Services,499,4995,,OPEC ,,,
Papua New Guinea,2012,aggr,1515600,Debt Services,499,4995,,IFAD,,,
Papua New Guinea,2013,aggr,382900,Debt Services,499,4995,,IFAD,,,
Papua New Guinea,2014,aggr,191600,Debt Services,499,4995,,IFAD,,,
Papua New Guinea,2012,aggr,16739700,Debt Services,599,,,Commercial Banks and Financial Institutions ,,,
Papua New Guinea,2013,aggr,16484200,Debt Services,599,,,Commercial Banks and Financial Institutions ,,,
Papua New Guinea,2014,aggr,16438300,Debt Services,599,,,Commercial Banks and Financial Institutions ,,,
Papua New Guinea,2012,aggr,1295124000,Debt Services,699,,,Domestic Debt Service ,,,
Papua New Guinea,2013,aggr,3981938900,Debt Services,699,,,Domestic Debt Service ,,,
Papua New Guinea,2014,aggr,6000883300,Debt Services,699,,,Domestic Debt Service ,,,
Papua New Guinea,2012,aggr,931299500,Debt Services,699,6991,,Treasury Bills,,,
