Country,Year,Type,Value,Sector,Department,Programme,Sub-Programme,Name,Notes,Changes
Vanuatu,2012,aggr,15417042635,,,,,,,
Vanuatu,2013,aggr,16725995509,,,,,,,
Vanuatu,2014,aggr,16796952599,,,,,,,
Vanuatu,2012,aggr,1409284391,Constitutional Agencies,,,,Constitutional Agencies,,
Vanuatu,2012,aggr,40476895,Constitutional Agencies,Presidential Support,,,Presidential Support,,
Vanuatu,2012,aggr,701532818,Constitutional Agencies,Parliament Procedure and Legislative Office,,,Procedure and Legislative Office,,
Vanuatu,2012,aggr,669474596,Constitutional Agencies,Parliament Procedure and Legislative Office,Procedure and Legislative Affairs,,Procedure and Legislative Affairs,,
Vanuatu,2012,aggr,6246799,Constitutional Agencies,Parliament Procedure and Legislative Office,Security and Protocol,,Security and Protocol,,
Vanuatu,2012,aggr,7781778,Constitutional Agencies,Parliament Procedure and Legislative Office,Inter-Parliamentary Relations,,Inter-Parliamentary Relations,,
Vanuatu,2012,aggr,18029645,Constitutional Agencies,Parliament Procedure and Legislative Office,Office of the Leader of the Opposition,,Office of the Leader of the Opposition,,
Vanuatu,2012,aggr,19819164,Constitutional Agencies,Parliament Standing Committees Office,,,Parliament Standing Committees Office,,
Vanuatu,2012,aggr,2500337,Constitutional Agencies,Parliament Standing Committees Office,Committee of the Standing Orders,Standing Orders Committee Support,Standing Orders Committee Support,,
Vanuatu,2012,aggr,2500337,Constitutional Agencies,Parliament Standing Committees Office,Committee of the Standing Orders,,Committee of the Standing Orders,,
Vanuatu,2012,aggr,2490133,Constitutional Agencies,Parliament Standing Committees Office,Committee on Parliamentary Privileges and Immunities,Parliamentary Privileges Committee Support,Parliamentary Privileges Committee Support,,
Vanuatu,2012,aggr,2490133,Constitutional Agencies,Parliament Standing Committees Office,Committee on Parliamentary Privileges and Immunities,,Committee on Parliamentary Privileges and Immunities,,
Vanuatu,2012,aggr,7238123,Constitutional Agencies,Parliament Standing Committees Office,Committee on the Public Accounts,Public Accounts Committee Support,Public Accounts Committee Support,,
Vanuatu,2012,aggr,7238123,Constitutional Agencies,Parliament Standing Committees Office,Committee on the Public Accounts,,Committee on the Public Accounts,,
Vanuatu,2012,aggr,2521841,Constitutional Agencies,Parliament Standing Committees Office,Committee on Institutions,Institutions Committee Support,Institutions Committee Support,,
Vanuatu,2012,aggr,2521841,Constitutional Agencies,Parliament Standing Committees Office,Committee on Institutions,,Committee on Institutions,,
Vanuatu,2012,aggr,2221595,Constitutional Agencies,Parliament Standing Committees Office,Committee on Economic Policy,Legislative Review Committee,Legislative Review Committee,,
Vanuatu,2012,aggr,2221595,Constitutional Agencies,Parliament Standing Committees Office,Committee on Economic Policy,,Committee on Economic Policy,,
Vanuatu,2012,aggr,2847135,Constitutional Agencies,Parliament Standing Committees Office,Committee on Social Policy,Provincial Affairs Committee,Provincial Affairs Committee,,
Vanuatu,2012,aggr,2847135,Constitutional Agencies,Parliament Standing Committees Office,Committee on Social Policy,,Committee on Social Policy,,
Vanuatu,2012,aggr,0,Constitutional Agencies,Parliament Standing Committees Office,Committee on Foreign Affairs & External Trade,,Committee on Foreign Affairs & External Trade,,
Vanuatu,2012,aggr,0,Constitutional Agencies,Parliament Standing Committees Office,Committee on Members of Parliament Ethics & Integrity,,Committee on Members of Parliament Ethics & Integrity,,
Vanuatu,2012,aggr,13229870,Constitutional Agencies,Parliament Hansard Office,,,Parliament Hansard Office,,
Vanuatu,2012,aggr,7988700,Constitutional Agencies,Parliament Hansard Office,Parliamentary Reporting,Parliamentary Reporting Section,Parliamentary Reporting Section,,
Vanuatu,2012,aggr,7988700,Constitutional Agencies,Parliament Hansard Office,Parliamentary Reporting,,Parliamentary Reporting,,
Vanuatu,2012,aggr,5241170,Constitutional Agencies,Parliament Hansard Office,Library and Archives,Library & Archives,Library & Archives,,
Vanuatu,2012,aggr,5241170,Constitutional Agencies,Parliament Hansard Office,Library and Archives,,Library and Archives,,
Vanuatu,2012,aggr,77558180,Constitutional Agencies,Parliament Corporate Services Office,,,Parliament Corporate Services Office,,
Vanuatu,2012,aggr,3425798,Constitutional Agencies,Parliament Corporate Services Office,Financial Management,,Financial Management,,
Vanuatu,2012,aggr,23079360,Constitutional Agencies,Parliament Corporate Services Office,Personnel Administration and Maintenance,,Personnel Administration and Maintenance,,
Vanuatu,2012,aggr,51053022,Constitutional Agencies,Parliament Corporate Services Office,Members Allocation,,Members Allocation,,
Vanuatu,2012,aggr,39281653,Constitutional Agencies,Office of the Ombudsman,,,Office of the Ombudsman,,
Vanuatu,2012,aggr,30739766,Constitutional Agencies,Malvatumauri,,,Malvatumauri,,
Vanuatu,2012,aggr,16386432,Constitutional Agencies,Malvatumauri,Administration of the National Council of Chiefs,,Administration of the National Council of Chiefs,,
Vanuatu,2012,aggr,4690727,Constitutional Agencies,Malvatumauri,Funds for 14 Islands Council of Chiefs,,Funds for 14 Islands Council of Chiefs,,
Vanuatu,2012,aggr,9662607,Constitutional Agencies,Malvatumauri,Malvatumauri Members Allowance,,Malvatumauri Members Allowance,,
Vanuatu,2012,aggr,21707752,Constitutional Agencies,National Audit Office,,,National Audit Office,,
Vanuatu,2012,aggr,4300682,Constitutional Agencies,National Audit Office,Planning Policy & Standards,,Planning Policy & Standards,,
Vanuatu,2012,aggr,9778622,Constitutional Agencies,National Audit Office,Audit Operations,,Audit Operations,,
Vanuatu,2012,aggr,7628448,Constitutional Agencies,National Audit Office,Corporate Services,,Corporate Services,,
Vanuatu,2012,aggr,91372971,Constitutional Agencies,State Law Office,,,State Law Office,,
Vanuatu,2012,aggr,81619982,Constitutional Agencies,State Law Office,Office Administration,,Office Administration,,
Vanuatu,2012,aggr,9752989,Constitutional Agencies,State Law Office,Financial Intelligence Unit,,Financial Intelligence Unit,,
Vanuatu,2012,aggr,37082095,Constitutional Agencies,Public Prosecutor,,,Public Prosecutor,,
Vanuatu,2012,aggr,8352476,Constitutional Agencies,Public Prosecutor,Planning and Management,,Planning and Management,,
Vanuatu,2012,aggr,24628661,Constitutional Agencies,Public Prosecutor,Institute Criminal Proceedings,,Institute Criminal Proceedings,,
Vanuatu,2012,aggr,4100958,Constitutional Agencies,Public Prosecutor,Corporate Services,,Corporate Services,,
Vanuatu,2012,aggr,47800365,Constitutional Agencies,Public Prosecutor,,,Public Prosecutor,,
Vanuatu,2012,aggr,47800365,Constitutional Agencies,Public Prosecutor,Representation,,Representation,,
Vanuatu,2012,aggr,186423069,Constitutional Agencies,Judiciary,,,Judiciary,,
Vanuatu,2012,aggr,2233029,Constitutional Agencies,Judiciary,Corporate Services,Human Resource,Human Resource,,
Vanuatu,2012,aggr,4436437,Constitutional Agencies,Judiciary,Corporate Services,Account / Finance,Account / Finance,,
Vanuatu,2012,aggr,7905410,Constitutional Agencies,Judiciary,Corporate Services,Assets,Assets,,
Vanuatu,2012,aggr,863164,Constitutional Agencies,Judiciary,Corporate Services,Information Technology,Information Technology,,
Vanuatu,2012,aggr,2279794,Constitutional Agencies,Judiciary,Corporate Services,Library / Archive,Library / Archive,,
Vanuatu,2012,aggr,644997,Constitutional Agencies,Judiciary,Corporate Services,Security,Security,,
Vanuatu,2012,aggr,0,Constitutional Agencies,Judiciary,Corporate Services,Supreme Court Hall of Justice,Supreme Court Hall of Justice,,
Vanuatu,2012,aggr,18362831,Constitutional Agencies,Judiciary,Corporate Services,,Corporate Services,,
Vanuatu,2012,aggr,17238159,Constitutional Agencies,Judiciary,Court of Appeal,Court of Appeal Registry,Court of Appeal Registry,,
Vanuatu,2012,aggr,17238159,Constitutional Agencies,Judiciary,Court of Appeal,,Court of Appeal,,
Vanuatu,2012,aggr,8775025,Constitutional Agencies,Judiciary,Supreme Court,Chief Justice Office,Chief Justice Office,,
Vanuatu,2012,aggr,39206480,Constitutional Agencies,Judiciary,Supreme Court,Principal Registry,Principal Registry,,
Vanuatu,2012,aggr,23161681,Constitutional Agencies,Judiciary,Supreme Court,Port Vila Registry,Port Vila Registry,,
Vanuatu,2012,aggr,7157841,Constitutional Agencies,Judiciary,Supreme Court,Luganville Registry,Luganville Registry,,
Vanuatu,2012,aggr,837500,Constitutional Agencies,Judiciary,Supreme Court,Isangel Registry,Isangel Registry,,
Vanuatu,2012,aggr,762503,Constitutional Agencies,Judiciary,Supreme Court,Sola Registry,Sola Registry,,
Vanuatu,2012,aggr,674997,Constitutional Agencies,Judiciary,Supreme Court,Ambore Registry,Ambore Registry,,
Vanuatu,2012,aggr,674997,Constitutional Agencies,Judiciary,Supreme Court,Lakatoro Registry,Lakatoro Registry,,
Vanuatu,2012,aggr,2500000,Constitutional Agencies,Judiciary,Supreme Court,Regional Conferences,Regional Conferences,,
Vanuatu,2012,aggr,83751024,Constitutional Agencies,Judiciary,Supreme Court,,Supreme Court,,
Vanuatu,2012,aggr,4822757,Constitutional Agencies,Judiciary,Magistrate Courts,Chief Magistrate Office,Chief Magistrate Office,,
Vanuatu,2012,aggr,13007391,Constitutional Agencies,Judiciary,Magistrate Courts,Port Vila MCt Office Registry,Port Vila MCt Office Registry,,
Vanuatu,2012,aggr,1133602,Constitutional Agencies,Judiciary,Magistrate Courts,Lakatoro MC Registry,Lakatoro MC Registry,,
Vanuatu,2012,aggr,4024830,Constitutional Agencies,Judiciary,Magistrate Courts,Isangel MC Registry,Isangel MC Registry,,
Vanuatu,2012,aggr,4307603,Constitutional Agencies,Judiciary,Magistrate Courts,Luganville MC Registry,Luganville MC Registry,,
Vanuatu,2012,aggr,600000,Constitutional Agencies,Judiciary,Magistrate Courts,Sola MC Registry,Sola MC Registry,,
Vanuatu,2012,aggr,624997,Constitutional Agencies,Judiciary,Magistrate Courts,Amobore MC Registry,Amobore MC Registry,,
Vanuatu,2012,aggr,28521180,Constitutional Agencies,Judiciary,Magistrate Courts,,Magistrate Courts,,
Vanuatu,2012,aggr,2460542,Constitutional Agencies,Judiciary,Island Courts,Senior Administrator Office,Senior Administrator Office,,
Vanuatu,2012,aggr,2326890,Constitutional Agencies,Judiciary,Island Courts,Efate Island Court,Efate Island Court,,
Vanuatu,2012,aggr,2039371,Constitutional Agencies,Judiciary,Island Courts,Santo Malo Island Court,Santo Malo Island Court,,
