Category,Level1,Level2,Level3,Level4,Federal,,GovXFer,State,Local,Total
Vanuatu,Constitutional Agencies,Parliament Procedure and Legislative Office,Procedure and Legislative Affairs,,360565188,,,,,360565188
Vanuatu,Constitutional Agencies,Parliament Procedure and Legislative Office,Security and Protocol,,3778324,,,,,3778324
Vanuatu,Constitutional Agencies,Parliament Procedure and Legislative Office,Inter-Parliamentary Relations,,8999555,,,,,8999555
Vanuatu,Constitutional Agencies,Parliament Procedure and Legislative Office,Office of the Leader of the Opposition,,25495163,,,,,25495163
Vanuatu,Constitutional Agencies,Parliament Standing Committees Office,Committee of the Standing Orders,Standing Orders Committee Support,3287743,,,,,3287743
Vanuatu,Constitutional Agencies,Parliament Standing Committees Office,Committee on Parliamentary Privileges and Immunities,Parliamentary Privileges Committee Support,3283863,,,,,3283863
Vanuatu,Constitutional Agencies,Parliament Standing Committees Office,Committee on the Public Accounts,Public Accounts Committee Support,8005822,,,,,8005822
Vanuatu,Constitutional Agencies,Parliament Standing Committees Office,Committee on Institutions,Institutions Committee Support,3420370,,,,,3420370
Vanuatu,Constitutional Agencies,Parliament Standing Committees Office,Committee on Economic Policy,Legislative Review Committee,2597590,,,,,2597590
Vanuatu,Constitutional Agencies,Parliament Standing Committees Office,Committee on Social Policy,Provincial Affairs Committee,2613549,,,,,2613549
Vanuatu,Constitutional Agencies,Parliament Standing Committees Office,Committee on Foreign Affairs & External Trade,,2499000,,,,,2499000
Vanuatu,Constitutional Agencies,Parliament Standing Committees Office,Committee on Members of Parliament Ethics & Integrity,,3137243,,,,,3137243
Vanuatu,Constitutional Agencies,Parliament Hansard Office,Parliamentary Reporting,Parliamentary Reporting Section,8623698,,,,,8623698
Vanuatu,Constitutional Agencies,Parliament Hansard Office,Library and Archives,Library & Archives,3534469,,,,,3534469
Vanuatu,Constitutional Agencies,Parliament Corporate Services Office,Financial Management,,2821815,,,,,2821815
Vanuatu,Constitutional Agencies,Parliament Corporate Services Office,Personnel Administration and Maintenance,,21918660,,,,,21918660
Vanuatu,Constitutional Agencies,Parliament Corporate Services Office,Members Allocation,,52000000,,,,,52000000
Vanuatu,Constitutional Agencies,Malvatumauri,Administration of the National Council of Chiefs,,17800840,,,,,17800840
Vanuatu,Constitutional Agencies,Malvatumauri,Funds for 14 Islands Council of Chiefs,,5387000,,,,,5387000
Vanuatu,Constitutional Agencies,Malvatumauri,Malvatumauri Members Allowance,,6275304,,,,,6275304
Vanuatu,Constitutional Agencies,National Audit Office,Planning Policy & Standards,,6915003,,,,,6915003
Vanuatu,Constitutional Agencies,National Audit Office,Audit Operations,,17230204,,,,,17230204
Vanuatu,Constitutional Agencies,National Audit Office,Corporate Services,,8186282,,,,,8186282
Vanuatu,Constitutional Agencies,State Law Office,Office Administration,,81681228,,,,,81681228
Vanuatu,Constitutional Agencies,State Law Office,Financial Intelligence Unit,,10103175,,,,,10103175
Vanuatu,Constitutional Agencies,Public Prosecutor,Planning and Management,,8185449,,,,,8185449
Vanuatu,Constitutional Agencies,Public Prosecutor,Institute Criminal Proceedings,,24205566,,,,,24205566
Vanuatu,Constitutional Agencies,Public Prosecutor,Corporate Services,,3912885,,,,,3912885
Vanuatu,Constitutional Agencies,Public Prosecutor,Representation,,49948665,,,,,49948665
Vanuatu,Constitutional Agencies,Judiciary,Corporate Services,Human Resource,2487760,,,,,2487760
Vanuatu,Constitutional Agencies,Judiciary,Corporate Services,Account / Finance,5376866,,,,,5376866
Vanuatu,Constitutional Agencies,Judiciary,Corporate Services,Assets,6674748,,,,,6674748
Vanuatu,Constitutional Agencies,Judiciary,Corporate Services,Information Technology,633569,,,,,633569
Vanuatu,Constitutional Agencies,Judiciary,Corporate Services,Library / Archive,2413365,,,,,2413365
Vanuatu,Constitutional Agencies,Judiciary,Corporate Services,Security,509247,,,,,509247
Vanuatu,Constitutional Agencies,Judiciary,Corporate Services,Supreme Court Hall of Justice,485000,,,,,485000
Vanuatu,Constitutional Agencies,Judiciary,Court of Appeal,Court of Appeal Registry,16376848,,,,,16376848
Vanuatu,Constitutional Agencies,Judiciary,Supreme Court,Chief Justice Office,8921824,,,,,8921824
Vanuatu,Constitutional Agencies,Judiciary,Supreme Court,Principal Registry,21071500,,,,,21071500
Vanuatu,Constitutional Agencies,Judiciary,Supreme Court,Port Vila Registry,30223676,,,,,30223676
Vanuatu,Constitutional Agencies,Judiciary,Supreme Court,Luganville Registry,7045717,,,,,7045717
Vanuatu,Constitutional Agencies,Judiciary,Supreme Court,Isangel Registry,481475,,,,,481475
Vanuatu,Constitutional Agencies,Judiciary,Supreme Court,Sola Registry,500128,,,,,500128
Vanuatu,Constitutional Agencies,Judiciary,Supreme Court,Ambore Registry,560747,,,,,560747
Vanuatu,Constitutional Agencies,Judiciary,Supreme Court,Lakatoro Registry,560747,,,,,560747
