Country,Year,Type,Value,Sector,Department,Programme,Sub-Programme,Name,Notes,Changes
Vanuatu,2014,aggr,731082553,,,,,,,
Vanuatu,2014,aggr,27239376,Consitutional Agencies,,,,,,
Vanuatu,2014,aggr,7348500,Consitutional Agencies,Parliament-Establishment of  Two New Standing Committees- Foreign Affairs & External Trade / Integrity & Ethics,,,,,
Vanuatu,2014,aggr,2000000,Consitutional Agencies,Parliament-Supplementary Staff Recruitment Cost to Offices of the Speaker and Deputy Leader of Leader of Opposition,,,,,
Vanuatu,2014,aggr,3000000,Consitutional Agencies,Citizenship Office- Additional staff for the Citizenship Office,,,,,
Vanuatu,2014,aggr,1766080,Consitutional Agencies,Public Solicitor-Recruitment of Two (2) New Support Staffs for PSO Malekula & Tanna,,,,,
Vanuatu,2014,aggr,2150000,Consitutional Agencies,Public Solicitor-Additional Funding for PSO Santo Malekula & Tanna's Operational Budget,,,,,
Vanuatu,2014,aggr,10974796,Consitutional Agencies,Judiciary-Termination of Employment ,,,,,
Vanuatu,2014,aggr,34500000,Prime Minister's Office,,,,,,
Vanuatu,2014,aggr,2000000,Prime Minister's Office,Increase of Prime Minister's Official Entertainment Funds,,,,,
Vanuatu,2014,aggr,19500000,Prime Minister's Office,Police Recruits 33 officers,,,,,
Vanuatu,2014,aggr,13000000,Prime Minister's Office,Salary / Wages and Operational Budget for Parliamentary Secretary to the Prime Minister,,,,,
Vanuatu,2014,aggr,150000000,Ministry of Education  and Youth and Sports  ,,,,,,
Vanuatu,2014,aggr,150000000,Ministry of Education  and Youth and Sports  ,Vanuatu Government Scholarship Fund,,,,,
Vanuatu,2014,aggr,33600000,Ministry of Internal Affairs,,,,,,
Vanuatu,2014,aggr,1600000,Ministry of Internal Affairs,Secretary - Police Service Commission,,,,,
Vanuatu,2014,aggr,7000000,Ministry of Internal Affairs,Presidential Election,,,,,
Vanuatu,2014,aggr,25000000,Ministry of Internal Affairs,PSC Approved Age Retirement,,,,,
Vanuatu,2014,aggr,36111954,Ministry of Finance and Economic Management,,,,,,
